CardholdeNDD,First Name,Last Name,Gender,ATMID,Birth Date,Occupation,AccountType,State Bank Of India
ND-005-1062,Esther,Okeke,M,ND-005,06/22/1981,Human Resources Specialist,Current,0
ED-001-1006,Sani,Ahmad,F,ED-001,08/28/1992,Engineer,Savings,1
SD-002-1080,Chioma,Maduka,M,SD-002,10-12-2000,Lawyer,Savings,0
WD-005-1223,Bolanle,Asalu,M,WD-005,09/28/1984,Farmer,Savings,1
WD-007-1116,Adigun,Awofeso,F,WD-007,03/16/2000,Student,Savings,1
WD-013-1257,Oladimeji,Uzoma,M,WD-013,01/22/1986,Engineer,Current,1
ND-007-1012,Godwin,Brown,M,ND-007,01-09-1989,Farmer,Current,1
SD-009-1039,Chiamaka,Ojukwu,F,SD-009,08/16/1999,Engineer,Savings,1
ED-002-1157,Ali,Hassan,F,ED-002,03-04-1996,Lawyer,Savings,1
SD-007-1031,Ngozi,Nwachukwu,F,SD-007,01/26/1996,Marketing Executive,Savings,1
WD-009-1215,Chidimma,Okafor,F,WD-009,01/19/2001,Lawyer,Savings,1
SD-008-1026,Ogechi,Ezeudu,F,SD-008,02-06-1981,Engineer,Savings,1
WD-014-1060,Enitan,Akpan,F,WD-014,09/17/1998,Student,Savings,0
SD-004-1061,Nwakaego,Eze,F,SD-004,07/30/1989,Software Developer,Savings,1
WD-005-1119,Albert,Nwankwo,F,WD-005,03/14/1992,Health Professional,Current,1
ND-010-1098,Emeka,Iwuoha,M,ND-010,10/30/1991,Marketing Executive,Current,1
WD-001-1034,Oluwadamilola,Obi,F,WD-001,02-07-2003,Health Professional,Savings,1
ED-007-1002,Aliyu,Bala,M,ED-007,03-03-1979,Electrician,Savings,1
SD-008-1034,Ezinne,Okolie,F,SD-008,09-04-1998,Engineer,Savings,1
ED-002-1081,Fati,Ahmed,F,ED-002,06/20/1984,Accountant,Savings,0
ED-009-1055,Danladi,Umar,F,ED-009,05/16/1991,Lawyer,Current,0
ED-009-1107,Bello,Shehu,F,ED-009,12-07-1993,Human Resources Specialist,Savings,1
ND-003-1003,Oluwatosin,Adeyemo,F,ND-003,02/18/1993,Marketing Executive,Current,1
WD-002-1156,Zainab,Jimoh,M,WD-002,02-03-1984,Carpenter,Current,1
WD-005-1187,Nike,Nifemi,F,WD-005,12/30/2000,Student,Savings,1
ND-006-1012,Ogechi,Brown,F,ND-006,07/14/1996,Manager,Savings,1
SD-005-1051,Chioma,Okechukwu,M,SD-005,03/16/1999,Student,Savings,1
SD-008-1022,Uchenna,Orji,M,SD-008,07/19/1978,Plumber,Savings,1
WD-005-1085,Charity,Oluwapemi,F,WD-005,11-06-1995,Lawyer,Current,1
ED-002-1173,Aliyu,Tijjani,F,ED-002,02-12-2001,Accountant,Current,1
ED-007-1035,Haruna,Umar,F,ED-007,03/26/2001,Trader,Savings,1
SD-002-1049,Ebuka,Umeadi,F,SD-002,12/19/1994,Manager,Savings,0
ND-008-1100,Ibinabo,Ezeani,F,ND-008,03/24/1985,Software Developer,Current,0
WD-008-1293,Oluwakemi,Aikhomu,M,WD-008,11/23/1988,Factory Worker,Current,1
SD-008-1050,Nnadike,Agu,M,SD-008,03/30/1998,Mechanic,Savings,0
ED-001-1184,Maryam,Habiba,M,ED-001,02/24/1985,Human Resources Specialist,Savings,1
WD-007-1264,Oladimeji,Akindele,F,WD-007,05/31/1997,Trader,Savings,1
ED-009-1075,Rabi,Adamu,M,ED-009,03-09-1986,Plumber,Savings,1
ED-006-1205,Nafisa,Maryam,F,ED-006,12/24/1987,Marketing Executive,Savings,0
WD-015-1256,Anthonia,Oladele,F,WD-015,11/22/1990,Trader,Current,1
WD-011-1094,Deji,Oluwadamilola,F,WD-011,02/15/1978,Human Resources Specialist,Current,0
ND-008-1041,Oladapo,Okoli,F,ND-008,03/25/1995,Marketing Executive,Current,1
ND-007-1023,Emmanuel,Okeke,F,ND-007,09/27/1986,Marketing Executive,Savings,0
WD-015-1266,Comfort,Adeleke,F,WD-015,03/13/2002,Manager,Savings,1
ED-002-1092,Haruna,Abubakar,M,ED-002,01-11-1990,Truck Driver,Current,1
WD-015-1138,Chiamaka,Kehinde,F,WD-015,09/15/1986,Data Analyst,Savings,1
WD-012-1096,Christopher,Adeolu,M,WD-012,03/22/1980,Carpenter,Current,1
WD-013-1056,Jideofor,Odeyemi,M,WD-013,10/17/1995,Software Developer,Savings,0
ED-009-1021,Musa,Mohammed,M,ED-009,04/21/2002,Trader,Savings,1
WD-003-1256,Afolabi,Adekunle,F,WD-003,09/17/1987,Lawyer,Savings,1
SD-008-1043,Obumneme,Eke,F,SD-008,07/16/1986,Software Developer,Current,1
ND-004-1038,Ifeanyi,Nwadike,F,ND-004,12/31/1994,Engineer,Current,1
WD-014-1086,Anthonia,Okonkwo,M,WD-014,02/13/1987,Manager,Savings,1
ED-003-1091,Fadila,Umaru,F,ED-003,01/27/1985,Lawyer,Savings,1
WD-003-1138,Akinbiyi,Okafor,F,WD-003,08-07-2003,Student,Savings,1
SD-009-1047,Okechukwu,Nwoko,F,SD-009,07/13/1981,Health Professional,Current,0
CD-001-1040,Comfort,Ojo,F,CD-001,09-12-1997,Trader,Savings,1
ND-004-1013,Jennifer,Briggs,F,ND-004,10/16/1997,Accountant,Current,1
ED-008-1193,Rukayat,Abdulaziz,F,ED-008,09/25/2001,Trader,Current,1
ND-007-1116,Fidelis,Akobo,M,ND-007,02/14/1992,Mechanic,Savings,0
ND-003-1063,Femi,Obi,M,ND-003,03-01-2003,Factory Worker,Current,1
ED-001-1108,Salma,Muhammad,F,ED-001,01-07-1991,Health Professional,Current,0
WD-012-1293,Ekanem,Adeyemi,F,WD-012,09/23/1987,Software Developer,Current,1
WD-015-1036,Adetokunbo,Ademola,F,WD-015,06/21/1990,Data Analyst,Current,1
ND-009-1070,Emmanuel,Ugochukwu,M,ND-009,09/25/1998,Student,Savings,1
ND-006-1037,Chukwuma,Brown,F,ND-006,05-01-1998,Student,Savings,1
SD-004-1003,Tochukwu,Eke,M,SD-004,12/18/1991,Marketing Executive,Savings,1
WD-005-1123,Chinenye,Adeyemi,M,WD-005,03/23/1997,Farmer,Savings,1
ED-002-1227,Sadiya,Mariam,M,ED-002,04/18/1988,Factory Worker,Savings,1
ED-007-1074,Ismaila,Aliyu,M,ED-007,10-11-2002,Factory Worker,Savings,0
SD-002-1005,Ebelechukwu,Okoli,F,SD-002,01-09-1991,Lawyer,Current,1
ND-009-1006,Chiamaka,Amadi,F,ND-009,12/20/1992,Accountant,Current,1
WD-004-1058,Chiwendu,Egbeyemi,M,WD-004,10/23/1997,Accountant,Savings,1
ED-002-1153,Abdulkadir,Ali,F,ED-002,10/24/1994,Lawyer,Current,1
ED-010-1071,Nasiru,Garba,F,ED-010,12/31/2002,Trader,Current,1
WD-005-1190,Deji,Udom,F,WD-005,02-08-1985,Health Professional,Current,0
WD-003-1140,Oluwabunmi,Okeke,F,WD-003,05-03-2000,Student,Savings,1
SD-008-1054,Ndubuisi,Ezeoke,F,SD-008,04-01-2002,Manager,Current,0
WD-007-1256,Olasunkanmi,Okeke,F,WD-007,12-01-1989,Trader,Current,0
ND-008-1024,Chidubem,Eze,F,ND-008,05-09-1987,Trader,Current,1
WD-007-1088,Olumide,Adeyemo,M,WD-007,08-01-2000,Electrician,Current,1
ED-001-1162,Halima,Zainab,F,ED-001,10-09-1983,Health Professional,Current,0
ED-004-1034,Umar,Ahmed,M,ED-004,01/26/2003,Student,Savings,1
ED-001-1114,Danladi,Muhammad,M,ED-001,03-07-1980,Trader,Current,1
ND-001-1077,Mabel,Obinna,F,ND-001,10/22/2001,Human Resources Specialist,Current,1
WD-014-1140,Adeola,Eze,F,WD-014,02-12-1991,Software Developer,Savings,1
WD-010-1220,Adesola,Ogundele,M,WD-010,10/17/1987,Manager,Current,1
SD-009-1068,Obiora,Nwadiogbu,F,SD-009,09-02-1990,Marketing Executive,Current,1
WD-003-1188,Oluwabusayo,Okoro,M,WD-003,11-11-1982,Electrician,Savings,1
ED-004-1139,Fati,Yakubu,F,ED-004,05-07-2007,Trader,Savings,1
ND-006-1002,Mercy,Eze,F,ND-006,08/29/1987,Manager,Savings,1
ND-009-1045,Favour,Briggs,F,ND-009,11-04-1983,Lawyer,Savings,0
SD-008-1077,Ogochukwu,Onyekachi,M,SD-008,12-03-1988,Factory Worker,Savings,0
ED-003-1086,Bashir,Umar,M,ED-003,04/25/1987,Manager,Current,0
ED-004-1127,Lawal,Ali,F,ED-004,10/13/1990,Health Professional,Current,1
ND-006-1061,Chidera,Okeke,F,ND-006,11/15/2001,Student,Savings,1
WD-008-1279,Adewale,Gbenga,M,WD-008,03/15/1990,Marketing Executive,Current,1
CD-001-1002,Funke,Adekunle,F,CD-001,07-01-1995,Trader,Savings,1
WD-010-1208,Chidiebere,Uzoma,M,WD-010,05/29/1997,Accountant,Current,1
WD-011-1267,Chidiebere,Ebiowei,M,WD-011,11/24/2000,Student,Savings,1
WD-001-1019,Cynthia,Uzoma,F,WD-001,07/25/2002,Software Developer,Current,0
ND-004-1081,Eberechukwu,Obi,M,ND-004,08/18/1989,Factory Worker,Current,1
SD-007-1076,Nnamdi,Igwe,F,SD-007,07-01-1986,Engineer,Current,0
WD-006-1204,Akubueze,Akande,M,WD-006,12/22/1980,Mechanic,Current,0
WD-006-1121,Dare,Aikhomu,F,WD-006,05-03-1985,Health Professional,Savings,1
WD-013-1282,Chisom,Oluwatosin,F,WD-013,06/22/1994,Human Resources Specialist,Current,0
WD-003-1225,Opeyemi,Oladele,M,WD-003,04-03-1992,Carpenter,Current,1
WD-014-1042,Oladimeji,Oluwaseun,F,WD-014,06/30/2001,Marketing Executive,Current,0
ED-005-1083,Ahmad,Ahmed,M,ED-005,02/19/1985,Lawyer,Current,1
ED-005-1076,Yakubu,Ali,F,ED-005,01/31/2001,Trader,Savings,1
ED-009-1008,Aisha,Yakubu,M,ED-009,07-12-1995,Mechanic,Current,1
ED-008-1016,Ruqayya,Abdullahi,F,ED-008,03/17/1996,Lawyer,Current,1
ED-003-1026,Hassan,Umar,M,ED-003,02-02-1994,Trader,Current,1
SD-009-1040,Oluwakemi,Nwankwo,M,SD-009,05/21/2002,Trader,Savings,1
ED-005-1186,Nura,Ismaila,F,ED-005,02/25/1984,Engineer,Current,0
ND-010-1094,Chukwuebuka,Onwuka,F,ND-010,03-09-2002,Manager,Current,1
WD-012-1286,Adewale,Akindele,F,WD-012,12/20/1991,Accountant,Savings,1
SD-004-1076,Nkemjika,Chukwuma,M,SD-004,03-03-1998,Farmer,Savings,1
ND-010-1091,Ifeoma,Eze,M,ND-010,07/29/1979,Construction Worker,Savings,1
ED-008-1181,Amina,Tijjani,M,ED-008,09/26/2001,Human Resources Specialist,Savings,1
ND-003-1058,Ebuka,Peterside,F,ND-003,03-05-2003,Student,Savings,1
ED-005-1183,Habiba,Fadila,F,ED-005,08-03-1980,Lawyer,Savings,1
SD-007-1034,Nkemdilim,Nwafor,M,SD-007,09/20/1996,Marketing Executive,Current,1
ND-005-1070,Celestina,Okoli,M,ND-005,05-10-1990,Factory Worker,Savings,1
WD-013-1012,Comfort,Okonkwo,F,WD-013,02-05-2001,Manager,Current,1
SD-003-1037,Chukwuma,Okechukwu,M,SD-003,06/13/1987,Lawyer,Current,1
WD-009-1038,Chizoba,Ibe,F,WD-009,09-10-2005,Student,Savings,1
WD-014-1203,Adebowale,Opeyemi,M,WD-014,07-01-1986,Data Analyst,Savings,1
WD-007-1138,Andrew,Oladipo,M,WD-007,10-01-1999,Student,Savings,0
ND-010-1010,Josephine,Pepple,F,ND-010,03/25/2007,Student,Savings,1
SD-008-1085,Okechukwu,Ezeani,M,SD-008,03/15/1982,Lawyer,Current,1
SD-007-1030,Ifeoma,Eke,F,SD-007,03/31/2003,Trader,Savings,1
SD-008-1088,Obioma,Okeke,F,SD-008,02/23/1996,Manager,Current,1
WD-005-1189,Adetokunbo,Okpara,F,WD-005,03/18/1997,Manager,Current,1
ND-006-1118,Eze,Nwokocha,M,ND-006,11/27/1996,Trader,Current,1
ED-010-1039,Abubakar,Adamu,F,ED-010,10-04-1994,Trader,Current,1
WD-008-1014,Boluwatife,Akindele,M,WD-008,09-03-1993,Marketing Executive,Current,1
SD-004-1050,Ifeoma,Ezeani,F,SD-004,10-01-1996,Health Professional,Current,1
WD-003-1109,Ngozi,Nwachukwu,M,WD-003,04/19/2001,Student,Savings,1
ED-007-1137,Adamu,Umaru,F,ED-007,10/18/2000,Health Professional,Savings,1
ED-010-1023,Abdulaziz,Aliyu,F,ED-010,12-09-1990,Human Resources Specialist,Current,1
WD-004-1059,Ali,Adekunle,F,WD-004,11/28/1986,Manager,Current,1
ND-004-1032,Favour,Akobo,F,ND-004,09/28/1985,Health Professional,Current,1
ND-009-1018,Samuel,Briggs,M,ND-009,12-11-1988,Mechanic,Savings,1
SD-009-1076,Chinyere,Nwosu,M,SD-009,06/21/1987,Truck Driver,Current,1
CD-001-1033,Adewale,Okorie,F,CD-001,11/21/1993,Trader,Savings,0
ND-002-1008,Emeka,Njoku,M,ND-002,11/17/1994,Software Developer,Savings,1
ED-003-1138,Sadiya,Rukayya,F,ED-003,04-04-1994,Lawyer,Savings,1
WD-006-1038,Olumide,Onyeka,M,WD-006,03/25/1988,Mechanic,Savings,1
ND-007-1034,Chidera,Peterside,M,ND-007,04/15/1979,Factory Worker,Savings,1
WD-004-1232,Chinedu,Aluko,F,WD-004,04/21/1984,Trader,Savings,1
ED-007-1121,Abdulkadir,Adamu,F,ED-007,07-08-1982,Engineer,Savings,1
SD-005-1010,Onyinye,Ezenwa,F,SD-005,08-10-1997,Trader,Current,1
SD-001-1022,Chiemeka,Igwe,M,SD-001,05/20/1981,Software Developer,Current,1
WD-005-1073,Nkem,Oluwakemi,M,WD-005,03/31/1983,Human Resources Specialist,Savings,1
WD-014-1205,Oyindamola,Onyeka,F,WD-014,10-09-1995,Human Resources Specialist,Savings,0
WD-006-1224,Olufemi,Odeyemi,M,WD-006,03-10-2000,Farmer,Current,1
ED-010-1170,Abdulkadir,Fati,F,ED-010,11-11-1998,Lawyer,Savings,1
SD-002-1052,Ogochukwu,Ugwu,M,SD-002,02/23/1998,Marketing Executive,Savings,1
ED-010-1203,Ahmed,Khadija,M,ED-010,12/30/1986,Factory Worker,Current,1
WD-009-1268,Ngozi,Akpan,F,WD-009,07/22/1994,Trader,Savings,1
ED-010-1020,Adamu,Ibrahim,F,ED-010,02/26/1990,Engineer,Current,0
ED-006-1071,Garba,Aliyu,M,ED-006,10/15/1992,Manager,Savings,1
ED-007-1018,Usman,Bala,F,ED-007,12/14/1981,Marketing Executive,Current,0
ED-006-1117,Rukayya,Farouk,M,ED-006,11-11-1986,Farmer,Current,1
ED-002-1250,Lawal,Fadila,F,ED-002,01/21/1978,Accountant,Current,1
WD-001-1008,Chuma,Okafor,M,WD-001,01-12-1994,Accountant,Savings,1
WD-011-1272,Amos,Adejumo,F,WD-011,10/16/1991,Lawyer,Savings,0
ND-003-1079,Onyinyechi,Wachukwu,F,ND-003,08-05-1984,Human Resources Specialist,Current,1
WD-004-1172,Damilola,Omotayo,M,WD-004,11/21/1986,Factory Worker,Savings,1
ED-009-1174,Nasiru,Abdulsalam,M,ED-009,02/26/2003,Trader,Current,1
SD-003-1064,Uzoma,Anyanwu,M,SD-003,02-11-2002,Engineer,Current,1
ND-006-1108,Ebele,Okoro,F,ND-006,12/13/1983,Lawyer,Current,1
ED-002-1051,Suleiman,Ibrahim,F,ED-002,01-10-1984,Engineer,Current,1
ED-008-1120,Mariam,Yakubu,F,ED-008,02-03-2002,Lawyer,Current,1
WD-015-1154,Olumide,Adeyemi,F,WD-015,11/27/2001,Student,Savings,1
WD-010-1018,Lola,Adebayo,M,WD-010,07/28/1994,Software Developer,Savings,1
WD-011-1193,Caroline,Nnaji,M,WD-011,07-01-2000,Marketing Executive,Current,1
WD-012-1143,Asabe,Quadri,M,WD-012,09/28/1994,Truck Driver,Current,1
WD-003-1291,Aladejobi,Nkem,M,WD-003,08/18/2000,Factory Worker,Savings,1
ED-002-1037,Abubakar,Suleiman,M,ED-002,05/23/2001,Accountant,Savings,1
ED-008-1064,Sadiya,Abubakar,F,ED-008,11-11-1998,Human Resources Specialist,Savings,1
WD-015-1084,Oladipo,Adeyemo,M,WD-015,07/19/1997,Data Analyst,Savings,1
WD-007-1210,Adelaja,Fajimi,M,WD-007,03/22/1991,Construction Worker,Current,0
ED-009-1111,Ahmad,Haruna,F,ED-009,08/17/1996,Lawyer,Savings,1
ED-003-1150,Ahmad,Abdulaziz,M,ED-003,12/27/1981,Manager,Current,1
WD-004-1258,Cynthia,Nnamdi,F,WD-004,03-10-1981,Software Developer,Current,1
ED-001-1053,Habiba,Garba,M,ED-001,11/14/2003,Electrician,Current,0
SD-007-1057,Chinelo,Orji,M,SD-007,09/28/2000,Farmer,Savings,1
WD-004-1275,Chinazo,Eyo,F,WD-004,02-05-1985,Lawyer,Savings,1
ED-001-1112,Danjuma,Aliyu,M,ED-001,06/28/2003,Trader,Savings,1
WD-003-1164,Adesola,Adebisi,F,WD-003,04-03-1997,Manager,Current,1
ED-001-1194,Danjuma,Nafisa,M,ED-001,11/25/1979,Manager,Savings,0
WD-002-1117,Akinbode,Eze,M,WD-002,07/16/1987,Marketing Executive,Savings,1
ND-001-1062,Adaeze,Okeke,M,ND-001,07-04-1993,Software Developer,Savings,1
WD-008-1229,Adeyinka,Eko,M,WD-008,03/28/1980,Accountant,Current,1
SD-002-1074,Uchechukwu,Okechukwu,M,SD-002,06/21/1998,Construction Worker,Current,1
ED-005-1089,Abubakar,Ahmed,M,ED-005,06/21/1996,Lawyer,Savings,1
ED-004-1168,Danladi,Hafsatu,M,ED-004,11/21/1986,Health Professional,Current,0
ED-003-1190,Aliyu,Mustapha,F,ED-003,06/14/1990,Health Professional,Current,1
ND-008-1037,Chiagozie,Akobo,M,ND-008,12-03-1988,Truck Driver,Current,1
WD-008-1218,Akintunde,Alade,F,WD-008,09/17/1979,Accountant,Savings,1
WD-010-1212,Clement,Ogbu,M,WD-010,02/28/1990,Carpenter,Savings,1
ND-006-1003,Oluwatoyin,Akintoye,M,ND-006,08/13/1987,Mechanic,Current,1
SD-003-1071,Oluchi,Nnamani,F,SD-003,06/17/2008,Student,Savings,1
ED-010-1012,Fati,Mohammed,M,ED-010,06/22/1986,Human Resources Specialist,Savings,1
SD-001-1040,Amarachi,Okereke,M,SD-001,06-09-1997,Truck Driver,Savings,0
ED-008-1021,Firdausi,Adamu,M,ED-008,06/13/1991,Factory Worker,Savings,1
WD-011-1292,Oluwadamilare,Dosunmu,M,WD-011,03/31/1980,Accountant,Savings,0
ED-007-1192,Zara,Fati,M,ED-007,02/22/1998,Engineer,Savings,1
ND-010-1007,Abiola,Brown,M,ND-010,06-05-1995,Factory Worker,Savings,1
WD-014-1246,Olajide,Awosika,F,WD-014,09-09-1993,Accountant,Savings,0
WD-007-1037,Alaba,Eze,F,WD-007,01-11-2003,Trader,Savings,0
WD-008-1226,Idris,Akande,M,WD-008,10/13/1981,Electrician,Current,1
WD-006-1078,Camillus,Famuyiwa,F,WD-006,11-06-2003,Lawyer,Current,1
ED-007-1049,Yusuf,Usman,M,ED-007,02/23/1993,Manager,Savings,1
WD-005-1025,Oluwatoyin,Jegede,F,WD-005,06/28/1991,Lawyer,Savings,1
WD-002-1089,Chukwuemeka,Adeyemo,F,WD-002,06/21/1989,Trader,Current,1
ED-009-1126,Mariam,Abdulsalam,F,ED-009,01-03-1991,Health Professional,Current,1
SD-006-1043,Chinyere,Okolie,M,SD-006,10/16/1989,Mechanic,Savings,0
SD-007-1091,Amaka,Okwara,F,SD-007,09/28/2003,Human Resources Specialist,Savings,0
WD-005-1041,Pamela,Okonkwo,M,WD-005,05-04-1994,Electrician,Savings,1
ND-005-1017,Victor,Ibezim,M,ND-005,12/24/1978,Trader,Current,1
SD-002-1022,Obianuju,Okonkwo,F,SD-002,09-09-1995,Health Professional,Savings,1
ED-010-1088,Mustapha,Usman,F,ED-010,03-08-2001,Human Resources Specialist,Savings,1
SD-006-1076,Chiamaka,Uche,M,SD-006,08-01-1994,Lawyer,Savings,1
WD-003-1243,Alaba,Okoye,M,WD-003,01/19/2000,Student,Savings,0
ED-004-1175,Rabi,Nasiru,M,ED-004,02-06-1994,Engineer,Savings,1
WD-009-1077,Oluwabukola,Okonkwo,F,WD-009,09/16/1979,Marketing Executive,Savings,1
WD-015-1175,Chidiebube,Oluwatimilehin,F,WD-015,09/23/1986,Manager,Savings,1
ED-002-1247,Abdullahi,Abdulaziz,M,ED-002,02/13/1992,Engineer,Current,1
SD-004-1045,Ugochi,Mbadiwe,F,SD-004,08/31/1993,Data Analyst,Current,1
SD-003-1012,Ebelechukwu,Okeke,F,SD-003,08/14/1982,Software Developer,Current,1
ND-004-1078,Mabel,Brown,F,ND-004,06-07-1999,Software Developer,Savings,1
ND-005-1047,Collins,Obi,M,ND-005,05/17/1987,Factory Worker,Savings,1
SD-008-1023,Chisom,Obi,F,SD-008,11-10-1997,Lawyer,Current,1
WD-013-1194,Ebunoluwa,Oluwatobiloba,M,WD-013,11-11-1994,Health Professional,Savings,1
WD-009-1059,Chikamso,Ayodele,M,WD-009,11/13/1986,Mechanic,Current,1
SD-008-1052,Chibuzo,Mbadiwe,F,SD-008,04/30/1999,Student,Savings,1
WD-001-1079,Jesutofunmi,Alaka,F,WD-001,07/17/1988,Accountant,Savings,0
WD-005-1237,Chinasa,Fagbemi,F,WD-005,01/22/1996,Trader,Savings,1
SD-005-1003,Ogechi,Onyekachi,F,SD-005,03-02-2002,Manager,Savings,1
WD-014-1276,Ademola,Akintoye,F,WD-014,01/18/1997,Lawyer,Savings,1
ED-005-1035,Sani,Garba,M,ED-005,09-02-1979,Engineer,Current,1
ND-009-1104,Chinyere,Nwokocha,M,ND-009,07-05-1985,Farmer,Current,1
ED-008-1176,Mustapha,Fati,M,ED-008,08-03-1993,Farmer,Savings,1
ND-010-1009,Peace,Wike,F,ND-010,12-09-1984,Manager,Current,1
ED-008-1042,Salisu,Hassan,M,ED-008,06/30/1999,Health Professional,Savings,1
SD-006-1017,Ndubisi,Onyekachi,M,SD-006,12-07-1998,Construction Worker,Savings,0
SD-003-1001,Chukwudi,Obi,M,SD-003,01-12-2002,Data Analyst,Current,1
SD-007-1010,Chukwuemeka,Okereke,M,SD-007,04-11-1979,Trader,Savings,1
ND-008-1016,Promise,Akobo,F,ND-008,01/24/1996,Health Professional,Savings,0
SD-007-1047,Ifeoma,Okonkwo,M,SD-007,03/26/1989,Farmer,Savings,1
ED-003-1048,Usman,Usman,M,ED-003,04/15/2003,Health Professional,Savings,1
ND-003-1044,David,Briggs,F,ND-003,10/21/2001,Marketing Executive,Current,1
ND-008-1044,Chidiebere,Ezeani,F,ND-008,12/15/2000,Marketing Executive,Savings,1
WD-015-1063,Chidozie,Ibrahim,F,WD-015,02/16/2001,Student,Savings,0
WD-009-1041,Edith,Adejumo,F,WD-009,06-03-1999,Manager,Savings,0
WD-009-1253,Akinyemi,Oluwakemi,F,WD-009,11/23/2000,Human Resources Specialist,Savings,1
WD-015-1010,Oluwaseun,Balogun,M,WD-015,03/24/1987,Engineer,Savings,1
ND-004-1051,Emeka,Iheanyi,M,ND-004,06-04-2006,Student,Savings,1
WD-014-1158,Ekene,Oluwatobiloba,F,WD-014,05/21/1987,Health Professional,Current,0
SD-005-1035,Chiamaka,Ndukwe,M,SD-005,07-12-1998,Health Professional,Savings,1
WD-006-1033,Angela,Ogunnaike,F,WD-006,05-09-1987,Software Developer,Savings,1
WD-015-1166,Adetokunbo,Usman,F,WD-015,04-07-1993,Software Developer,Savings,1
SD-004-1043,Ebubechukwu,Okonkwo,F,SD-004,09/24/1986,Data Analyst,Savings,1
WD-014-1214,Chidozie,Nkem,M,WD-014,06-04-1997,Mechanic,Savings,1
WD-004-1101,Kehinde,Adegoke,F,WD-004,07/26/2003,Student,Savings,1
SD-003-1077,Nwakaego,Ugochukwu,M,SD-003,08/26/1982,Health Professional,Savings,1
ND-005-1063,Chiamaka,Ugochukwu,F,ND-005,04/22/1999,Student,Savings,0
WD-009-1196,Chidimma,Oluwalonimi,M,WD-009,03/28/2000,Student,Savings,1
ND-001-1087,Onyeka,Brown,M,ND-001,05-08-1985,Construction Worker,Current,1
SD-007-1019,Obinna,Nwankwo,M,SD-007,08/13/1985,Health Professional,Current,1
ED-002-1163,Sadiq,Bello,F,ED-002,01/16/2000,Health Professional,Savings,1
ED-009-1032,Umaru,Farouq,F,ED-009,06-08-1990,Marketing Executive,Current,1
ED-004-1144,Aisha,Fatima,M,ED-004,03-03-1994,Mechanic,Current,1
ND-008-1081,Adaeze,Ohiri,F,ND-008,05/18/2002,Lawyer,Savings,1
SD-008-1038,Chioma,Obi,M,SD-008,01-05-2002,Human Resources Specialist,Current,0
WD-011-1124,Clement,Hassan,M,WD-011,12/24/2000,Student,Savings,1
WD-013-1030,Oluwakanyinsola,Adeyemo,M,WD-013,03/17/1997,Engineer,Current,0
SD-001-1091,Amarachi,Onyema,M,SD-001,04/21/1985,Accountant,Savings,1
ND-003-1023,Ihuoma,Amadi,F,ND-003,02-05-2008,Student,Savings,1
ED-008-1033,Danjuma,Yusuf,F,ED-008,08/31/2001,Student,Savings,0
WD-004-1015,Ngozi,Oluwaseun,M,WD-004,06/24/2003,Student,Savings,1
ND-003-1107,Chidinma,Akintoye,M,ND-003,11/25/1991,Welder,Savings,1
ED-006-1015,Ibrahim,Abubakar,F,ED-006,05/30/2001,Trader,Current,0
SD-004-1001,Nneka,Udeh,F,SD-004,09-09-1980,Accountant,Savings,0
WD-003-1068,Nwachukwu,Okonkwo,F,WD-003,02/18/1994,Marketing Executive,Savings,1
WD-001-1183,Charity,Adewale,F,WD-001,03-01-2001,Data Analyst,Current,0
ED-009-1177,Fati,Abdulsalam,M,ED-009,12-02-1990,Welder,Current,1
WD-004-1307,Eniola,Okon,M,WD-004,12/16/1999,Student,Savings,1
WD-012-1144,Adeniyi,Adeyemo,M,WD-012,05/21/1987,Truck Driver,Savings,1
WD-014-1147,Bose,Ibrahim,M,WD-014,12/15/1991,Plumber,Current,0
ND-005-1018,Uchechi,Amadi,F,ND-005,07/17/1988,Trader,Savings,1
SD-007-1089,Ozioma,Onyekachi,F,SD-007,10-01-1986,Manager,Savings,1
WD-008-1122,Chinyere,Adeyemo,F,WD-008,02/14/1989,Accountant,Current,0
WD-003-1186,Kafayat,Okafor,F,WD-003,04/24/1989,Trader,Savings,1
WD-011-1293,Oladimeji,Akinwale,M,WD-011,04-11-1994,Health Professional,Current,1
WD-015-1245,Ayodele,Adewale,F,WD-015,11/22/1989,Human Resources Specialist,Current,1
WD-003-1241,Lagos,Famuyiwa,F,WD-003,11-02-1993,Accountant,Current,1
ED-002-1056,Rabi,Yakubu,F,ED-002,10-01-2001,Health Professional,Current,1
ED-005-1136,Yakubu,Farouq,M,ED-005,02/21/1993,Plumber,Current,1
ND-006-1059,Chiagozie,Onwuka,F,ND-006,05/19/1982,Accountant,Current,1
ND-010-1077,Maxwell,Okocha,F,ND-010,01/13/2000,Human Resources Specialist,Current,1
SD-002-1006,Nwabueze,Okonkwo,M,SD-002,03-09-2002,Mechanic,Current,1
SD-009-1022,Onyinyechi,Ogbu,F,SD-009,01/30/2000,Health Professional,Current,1
ND-010-1119,Onyeka,Amadi,F,ND-010,03-10-2002,Software Developer,Savings,1
WD-001-1024,Adetokunbo,Adenuga,M,WD-001,12/22/1980,Trader,Savings,0
ND-009-1052,Obinna,Brown,M,ND-009,09/28/1996,Plumber,Savings,0
WD-012-1163,Adewale,Okeke,F,WD-012,05-09-1985,Manager,Savings,1
WD-002-1198,Chinazo,Balogun,F,WD-002,05-03-1994,Accountant,Current,1
